# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    2.443198198    4.366862417    4.366852366    3.185761422
    2.453207207    4.356765526    4.356755524    3.181175929
    2.463216216    4.346717543    4.346707589    3.176598644
    2.473225225    4.336718089    4.336708183    3.172029597
    2.483234234    4.326766792    4.326756933    3.167468817
    2.493243243    4.316863280    4.316853469    3.162916332
    2.503252252    4.307007188    4.306997424    3.158372169
    2.513261261    4.297198155    4.297188437    3.153836356
    2.523270270    4.287435823    4.287426150    3.149308919
    2.533279279    4.277719838    4.277710210    3.144789882
    2.543288288    4.268049849    4.268040267    3.140279271
    2.553297297    4.258425511    4.258415973    3.135777108
    2.563306306    4.248846482    4.248836988    3.131283418
    2.573315315    4.239312421    4.239302971    3.126798223
    2.583324324    4.229822995    4.229813588    3.122321544
    2.593333333    4.220377871    4.220368507    3.117853403
    2.603342342    4.210976721    4.210967400    3.113393820
    2.613351351    4.201619222    4.201609942    3.108942814
    2.623360360    4.192305051    4.192295813    3.104500406
    2.633369369    4.183033891    4.183024695    3.100066612
    2.643378378    4.173805428    4.173796273    3.095641452
    2.653387387    4.164619351    4.164610236    3.091224942
    2.663396396    4.155475351    4.155466277    3.086817099
    2.673405405    4.146373125    4.146364090    3.082417939
    2.683414414    4.137312370    4.137303375    3.078027477
    2.693423423    4.128292789    4.128283833    3.073645729
    2.703432432    4.119314086    4.119305169    3.069272708
    2.713441441    4.110375969    4.110367091    3.064908428
    2.723450450    4.101478149    4.101469309    3.060552903
    2.733459459    4.092620340    4.092611538    3.056206145
    2.743468468    4.083802259    4.083793494    3.051868166
    2.753477477    4.075023625    4.075014897    3.047538978
    2.763486486    4.066284161    4.066275470    3.043218591
    2.773495495    4.057583591    4.057574937    3.038907017
    2.783504505    4.048921645    4.048913028    3.034604265
    2.793513514    4.040298053    4.040289472    3.030310344
    2.803522523    4.031712549    4.031704003    3.026025265
    2.813531532    4.023164868    4.023156358    3.021749035
    2.823540541    4.014654751    4.014646275    3.017481662
    2.833549550    4.006181937    4.006173497    3.013223155
    2.843558559    3.997746173    3.997737767    3.008973519
    2.853567568    3.989347203    3.989338831    3.004732763
    2.863576577    3.980984777    3.980976439    3.000500891
    2.873585586    3.972658647    3.972650343    2.996277911
    2.883594595    3.964368567    3.964360297    2.992063827
    2.893603604    3.956114294    3.956106056    2.987858644
    2.903612613    3.947895585    3.947887381    2.983662367
    2.913621622    3.939712203    3.939704032    2.979475001
    2.923630631    3.931563911    3.931555772    2.975296547
    2.933639640    3.923450476    3.923442368    2.971127011
    2.943648649    3.915371664    3.915363589    2.966966395
    2.953657658    3.907327246    3.907319203    2.962814702
    2.963666667    3.899316996    3.899308984    2.958671933
    2.973675676    3.891340687    3.891332706    2.954538091
    2.983684685    3.883398097    3.883390147    2.950413177
    2.993693694    3.875489005    3.875481086    2.946297192
    3.003702703    3.867613193    3.867605304    2.942190137
    3.013711712    3.859770442    3.859762583    2.938092011
    3.023720721    3.851960539    3.851952710    2.934002816
    3.033729730    3.844183271    3.844175472    2.929922551
    3.043738739    3.836438428    3.836430658    2.925851215
    3.053747748    3.828725800    3.828718060    2.921788808
    3.063756757    3.821045182    3.821037471    2.917735327
    3.073765766    3.813396367    3.813388685    2.913690771
