# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     6.032070257    6.031850694    4.894473291
    0.011009009 1683.106106553 1683.194570083   10.803816172
    0.481432432    6.026934367    6.026924851    2.408241399
    0.491441441    6.011161643    6.011150404    2.409317614
    0.501450450    5.998309183    5.998296337    2.410435374
    0.511459459    5.988257035    5.988242691    2.411594280
    0.521468468    5.980904262    5.980888521    2.412794030
    0.531477477    5.976167576    5.976150533    2.414034420
    0.541486486    5.973980255    5.973961998    2.415315329
    0.551495495    5.974291298    5.974271911    2.416636725
    0.561504505    5.977064805    5.977044365    2.417998652
    0.571513514    5.982279571    5.982258151    2.419401235
    0.581522523    5.989928882    5.989906554    2.420844676
    0.591531532    6.000020522    5.999997351    2.422329253
    0.601540541    6.012576966    6.012553016    2.423855324
    0.611549550    6.027635798    6.027611129    2.425423325
    0.621558559    6.045250339    6.045225010    2.427033774
    0.631567568    6.065490515    6.065464581    2.428687276
    0.641576577    6.088443983    6.088417499    2.430384528
    0.651585586    6.114217539    6.114190558    2.432126323
    0.661594595    6.142938846    6.142911421    2.433913561
    0.671603604    6.174758526    6.174730707    2.435747257
    0.681612613    6.209852643    6.209824480    2.437628551
    0.691621622    6.248425664    6.248397208    2.439558724
    0.701630631    6.290713928    6.290685229    2.441539211
    0.711639640    6.336989695    6.336960802    2.443571624
    0.721648649    6.387565831    6.387536797    2.445657767
    0.731657658    6.442801177    6.442772053    2.447799664
    0.741666667    6.503106587    6.503077427    2.449999585
    0.751675676    6.568951579    6.568922439    2.452260079
    0.761684685    6.640871372    6.640842310    2.454584001
    0.771693694    6.719473839    6.719444915    2.456974547
    0.781702703    6.805445415    6.805416695    2.459435280
    0.791711712    6.899554206    6.899525756    2.461970144
    0.801720721    7.002647035    7.002618928    2.464583454
    0.811729730    7.115634617    7.115606931    2.467279826
    0.821738739    7.239454408    7.239427225    2.470064023
    0.831747748    7.374992495    7.374965903    2.472940598
    0.841756757    7.522931174    7.522905263    2.475913234
    0.851765766    7.683462514    7.683437376    2.478983464
    0.861774775    7.855761272    7.855736994    2.482148348
    0.871783784    8.037028602    8.037005252    2.485396235
    0.881792793    8.220782180    8.220759791    2.488699195
    0.891801802    8.393870451    8.393848974    2.491999798
    0.901810811    8.531499957    8.531479199    2.495189097
    0.911819820    8.589769750    8.589749260    2.498073570
    0.921828829    8.497090909    8.497069818    2.500337125
    0.931837838    8.152300798    8.152277658    2.501532755
    0.941846847    7.449962282    7.449935063    2.501194569
    0.951855856    6.356584484    6.356551003    2.499175330
    0.961864865    5.006587322    5.006546172    2.496071416
    0.971873874    3.689322408    3.689273791    2.493165348
    0.981882883    2.673078612    2.673024227    2.491646440
    0.991891892    2.053556284    2.053498401    2.491939805
    1.001900901    1.774217398    1.774157999    2.493796476
    1.011909910    1.726160256    1.726100718    2.496735687
    1.021918919    1.813482714    1.813423861    2.500334334
    1.031927928    1.970799265    1.970741544    2.504304548
    1.041936937    2.158815120    2.158758745    2.508474116
    1.051945946    2.355645855    2.355590912    2.512748044
    1.061954955    2.549849730    2.549796241    2.517077723
    1.071963964    2.735917605    2.735865559    2.521440970
    1.081972973    2.911599080    2.911548456    2.525830203
    1.091981982    3.076380699    3.076331474    2.530245729
    1.101990991    3.230637895    3.230590051    2.534692005
    1.112000000    3.375169021    3.375122550    2.539175609
    1.122009009    3.510943265    3.510898166    2.543704148
    1.132018018    3.638967574    3.638923856    2.548285714
    1.142027027    3.760219566    3.760177249    2.552928619
    1.152036036    3.875616795    3.875575909    2.557641314
    1.162045045    3.986005796    3.985966381    2.562432392
    1.172054054    4.092161664    4.092123772    2.567310646
    1.182063063    4.194792999    4.194756693    2.572285161
    1.192072072    4.294549359    4.294514714    2.577365417
    1.202081081    4.392029681    4.391996782    2.582561397
    1.212090090    4.487790866    4.487759815    2.587883694
    1.222099099    4.582356152    4.582327064    2.593343591
    1.232108108    4.676223107    4.676196113    2.598953088
    1.242117117    4.769871241    4.769846490    2.604724836
    1.252126126    4.863769255    4.863746916    2.610671874
    1.262135135    4.958382002    4.958362264    2.616807033
    1.272144144    5.054177188    5.054160267    2.623141703
    1.282153153    5.151631815    5.151617952    2.629683483
    1.292162162    5.251238225    5.251227693    2.636431796
    1.302171171    5.353509425    5.353502527    2.643369897
    1.312180180    5.458982986    5.458980059    2.650450469
    1.322189189    5.568222267    5.568223681    2.657570256
    1.332198198    5.681813006    5.681819161    2.664526999
    1.342207207    5.800353131    5.800364449    2.670952018
    1.352216216    5.924436384    5.924453302    2.676223000
    1.362225225    6.054642248    6.054665236    2.679407092
    1.372234234    6.191572708    6.191602355    2.679391474
    1.382243243    6.335999008    6.336036203    2.675453456
    1.392252252    6.489095880    6.489141965    2.668231342
    1.402261261    6.652491333    6.652547870    2.660152037
    1.412270270    6.827835913    6.827904059    2.654255679
    1.422279279    7.016112943    7.016192901    2.652350227
    1.432288288    7.217101615    7.217192399    2.654462015
    1.442297297    7.428812596    7.428911616    2.659626359
    1.452306306    7.646328840    7.646430747    2.666762295
    1.462315315    7.859516327    7.859610674    2.675054385
    1.472324324    8.048997559    8.049064852    2.683987411
    1.482333333    8.179756921    8.179762763    2.693267409
    1.492342342    8.192732220    8.192620766    2.702739599
    1.502351351    7.998974544    7.998667707    2.712330500
    1.512360360    7.491399830    7.490818747    2.722012317
    1.522369369    6.599727344    6.598853887    2.731782346
    1.532378378    5.387403004    5.386351373    2.741651419
    1.542387387    4.094617288    4.093610554    2.751637566
    1.552396396    3.015075896    3.014302575    2.761762613
    1.562405405    2.311064246    2.310577405    2.772050433
    1.572414414    1.971712173    1.971461288    2.782526108
    1.582423423    1.899292979    1.899198892    2.793215631
    1.592432432    1.991652841    1.991649738    2.804145889
    1.602441441    2.174004463    2.174048709    2.815344823
    1.612450450    2.399734160    2.399799944    2.826841693
    1.622459459    2.642315948    2.642389060    2.838667401
    1.632468468    2.887655066    2.887728175    2.850854845
    1.642477477    3.128846131    3.128915799    2.863439282
    1.652486486    3.362989137    3.363054070    2.876458674
    1.662495495    3.589356921    3.589416972    2.889953935
    1.672504505    3.808368168    3.808423789    2.903969020
    1.682513514    4.021020511    4.021072448    2.918550638
    1.692522523    4.228580750    4.228629874    2.933747306
    1.702531532    4.432415768    4.432462988    2.949607155
    1.712540541    4.633896673    4.633942873    2.966173485
    1.722549550    4.834334317    4.834380314    2.983476230
    1.732558559    5.034915492    5.034961970    3.001516099
    1.742567568    5.236609735    5.236657152    3.020235630
    1.752576577    5.440008656    5.440057070    3.039467332
    1.762585586    5.645045115    5.645093904    3.058843247
    1.772594595    5.850531538    5.850578971    3.077645199
    1.782603604    6.053506301    6.053549080    3.094583197
    1.792612613    6.248633317    6.248666636    3.107550236
    1.802621622    6.428618522    6.428638132    3.113595410
    1.812630631    6.587620595    6.587628752    3.109701530
    1.822639640    6.728602954    6.728615933    3.094950337
    1.832648649    6.868837908    6.868884009    3.073104906
    1.842657658    7.032857897    7.032960159    3.052315783
    1.852666667    7.236122419    7.236283480    3.040581885
    1.862675676    7.476915906    7.477119501    3.041341685
    1.872684685    7.739931416    7.740150384    3.053360525
    1.882693694    8.000401431    8.000600131    3.073299989
    1.892702703    8.222700335    8.222830776    3.097721197
    1.902711712    8.356288603    8.356286445    3.123678208
    1.912720721    8.337925426    8.337718501    3.148588108
    1.922729730    8.114419246    8.113965125    3.170183722
